,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
482,10,11,60,15,320,2007,128,4943,93,0
483,10,11,100,5,20,2804,144,5028,642,0
484,10,11,100,5,30,3018,182,5151,589,0
485,10,11,100,5,40,3044,186,5155,511,0
486,10,11,100,5,80,3055,194,5123,407,0
487,10,11,100,5,160,3060,198,5125,363,0
488,10,11,100,5,250,3133,218,5180,375,0
489,10,11,100,5,320,3216,239,5270,399,0
490,10,11,100,10,20,2087,84,4859,251,0
491,10,11,100,10,30,2440,134,5052,225,0
492,10,11,100,10,40,2520,144,5058,199,0
493,10,11,100,10,80,2542,150,5030,158,0
494,10,11,100,10,160,2542,163,5037,151,0
495,10,11,100,10,250,2512,158,5054,160,0
496,10,11,100,10,320,2505,165,5070,168,0
497,10,11,100,15,20,1443,44,4676,157,0
498,10,11,100,15,30,1916,95,4941,140,0
499,10,11,100,15,40,2028,113,4966,120,0
500,10,11,100,15,80,2081,116,4952,85,0
501,10,11,100,15,160,2086,119,4952,83,0
502,10,11,100,15,250,2071,128,4961,94,0
503,10,11,100,15,320,2054,135,4956,95,0
504,10,15,15,5,20,3502,321,5462,709,0
505,10,15,15,5,30,3605,346,5464,673,0
506,10,15,15,5,40,3636,350,5462,652,0
507,10,15,15,5,80,3546,340,5389,567,0
508,10,15,15,5,160,3475,334,5329,495,0
509,10,15,15,5,250,3467,339,5311,479,0
510,10,15,15,5,320,3463,337,5310,470,0
511,10,15,15,10,20,2295,185,5125,267,0
512,10,15,15,10,30,2576,208,5201,260,0
513,10,15,15,10,40,2674,227,5216,257,0
514,10,15,15,10,80,2697,219,5159,215,0
515,10,15,15,10,160,2699,227,5141,194,0
516,10,15,15,10,250,2697,231,5134,198,0
517,10,15,15,10,320,2693,232,5137,195,0
518,10,15,15,15,20,1501,96,4803,136,0
519,10,15,15,15,30,1901,137,5000,134,0
520,10,15,15,15,40,2029,129,5051,134,0
521,10,15,15,15,80,2125,156,5035,127,0
522,10,15,15,15,160,2114,152,5020,120,0
523,10,15,15,15,250,2121,155,5020,120,0
524,10,15,15,15,320,2121,161,5019,120,0
525,10,15,30,5,20,2301,78,4880,58,0
526,10,15,30,5,30,2576,97,5002,52,0
527,10,15,30,5,40,2718,109,5019,55,0
528,10,15,30,5,80,2801,146,5012,64,0
529,10,15,30,5,160,2807,150,5002,67,0
530,10,15,30,5,250,2812,155,5004,63,0
531,10,15,30,5,320,2810,155,5008,66,0
532,10,15,30,10,20,1210,38,4567,40,0
533,10,15,30,10,30,1829,78,4859,42,0
534,10,15,30,10,40,2028,83,4914,46,0
535,10,15,30,10,80,2179,110,4938,44,0
536,10,15,30,10,160,2206,118,4932,46,0
537,10,15,30,10,250,2210,123,4933,43,0
538,10,15,30,10,320,2207,123,4929,41,0
539,10,15,30,15,20,562,21,3883,33,0
540,10,15,30,15,30,1188,34,4651,29,0
541,10,15,30,15,40,1483,51,4803,34,0
542,10,15,30,15,80,1676,77,4849,39,0
